SAGE,LEE,,,,,
BSMST,,,,,,
2011-11111,,,,,,
CRSE NO.,Grade,Units,Enrolled,Term,,
MST 101a,1,1,1,1,,
BIO 11.1,1,2,2,3,,
CHEM 18,1.25,3,3.75,6.75,,
CHEM 18.1,1,2,2,8.75,,
PHYS 50,1,3,3,11.75,,
MATH 25,1.5,3,4.5,16.25,,
STS 1,2,3,6,22.25,,
PI 10,1,3,3,25.25,,
HK 11,3,0,0,25.25,20,I/19/20
MST 101b,1,1,0,25.25,,
BIO 14,1,5,0,25.25,,
CHEM 40,1.25,4,0,25.25,,
CHEM 40.1,1,1,0,25.25,,
AMAT 19,1,3,0,25.25,,
MATH 27,1,3,0,25.25,,
HIST 1,1,3,0,25.25,,
HK 12,1,0,0,25.25,20,II/19/20
MST 101c,1.25,1,1.25,26.5,,
EDUC 102,1,3,3,29.5,,
CHEM 32,1,3,3,32.5,,
CHEM 32.1,1,2,2,34.5,,
BIO 30,1,3,3,37.5,,
STAT 162,1.75,3,5.25,42.75,,
SPCM 156,1,3,3,45.75,,
ETHICS 1,1,3,3,48.75,,
HK 13,1.5,0,0,48.75,,
NSTP 1,1,0,0,48.75,21,I/20/21
MST 101d,1,1,1,49.75,,
EDUC 122,1,3,3,52.75,,
DEVC 40,2,3,6,58.75,,
CHEM 160,1,3,3,61.75,,
PHYS 71,1,4,4,65.75,,
PHYS 71.1,1,1,1,66.75,,
STAT 166,1.25,3,3.75,70.5,,
COMA 160,1,3,3,73.5,,
HK 12,1,0,0,73.5,,
NSTP 2,1.25,0,0,73.5,21,II/20/21
MST 123,1,5,5,78.5,,
EDUC 111,1,3,3,81.5,,
CHEM 160.1,1,3,3,84.5,,
PHYS 72,1.25,4,5,89.5,,
PHYS 72.1,1,1,1,90.5,16,I/21/22
MST 195,1,3,3,93.5,,
MST 200a,1,3,3,96.5,,
EDUC 144,1,3,3,99.5,,
CHEM 102,1.25,3,3.75,103.25,,
COMM 10,1,3,3,106.25,,
MATH 18,1,3,3,109.25,,
SAS 1,1,3,3,112.25,21,II/21/22
MST 190,1.5,3,4.5,116.75,,
MST 200b,1,3,3,119.75,,
CHEM 180,1,3,3,122.75,,
ARTS 1,1,3,3,125.75,,
WIKA 1,1,3,3,128.75,15,I/22/23
MST 191,2,3,6,134.75,,
MST 199,1,1,1,135.75,,
SOSC 3,1,3,3,138.75,7,II/22/23
,141,,,138.75,,
GWA,1.146694215,,,,,
141,,,,,,
