SAGE,LEE,,,,,
BSMST,,,,,,
2011-11111,,,,,,
CRSE NO.,Grade,Units,Enrolled,Term,,
MST 101a,1.25,1,1.25,1.25,,
BIO 11.1,1.75,2,3.5,4.75,,
CHEM 18,2,3,6,10.75,,
CHEM 18.1,2,2,4,14.75,,
PHYS 50,1.25,3,3.75,18.5,,
MATH 25,1,3,3,21.5,,
STS 1,1,3,3,24.5,,
PI 10,1,3,3,27.5,,
HK 11,2,0,0,27.5,20,I/19/20
MST 101b,1,1,0,27.5,,
BIO 14,1.75,5,0,27.5,,
CHEM 40,1.5,4,0,27.5,,
CHEM 40.1,1.25,1,0,27.5,,
AMAT 19,1.5,3,0,27.5,,
MATH 27,1.25,3,0,27.5,,
HIST 1,1,3,0,27.5,,
HK 12,1,0,0,27.5,20,II/19/20
MST 101c,1,1,1,28.5,,
EDUC 102,1,3,3,31.5,,
EDUC 111,1,3,3,34.5,,
PHYS 71,1,4,4,38.5,,
PHYS 71.1,1,1,1,39.5,,
BIO 30,1,3,3,42.5,,
MATH 18,1,3,3,45.5,,
ETHICS 1,1,3,3,48.5,,
HK 12,1,0,0,48.5,,
NSTP 1,1,0,0,48.5,21,I/20/21
MST 101d,1,1,1,49.5,,
EDUC 122,1,3,3,52.5,,
MST 40,1,3,3,55.5,,
PHYS 72,1,4,4,59.5,,
PHYS 72.1,1,1,1,60.5,,
CHEM 160,1,3,3,63.5,,
STAT 162,2,3,6,69.5,,
COMA 150,1,3,3,72.5,,
HK 13,1,0,0,72.5,,
NSTP 2,1,0,0,72.5,21,II/20/21
MST 123,1,5,5,77.5,,
EDUC 144,1,3,3,80.5,,
APHY 101,1,3,3,83.5,,
STAT 166,1,3,3,86.5,,
SPCM 156,1.25,3,3.75,90.25,,
SCIENCE 11,1,3,3,93.25,20,I/21/22
MST 195,1,3,3,96.25,,
MST 200a,1,3,3,99.25,,
APHY 102,1.5,3,4.5,103.75,,
PHYS 192.1,1,2,2,105.75,,
CMSC 12,1,3,3,108.75,,
COMM 10,1.25,3,3.75,112.5,17,II/21/22
MST 190,1,3,3,115.5,,
MST 199,1,1,1,116.5,,
MST 200b,1,3,3,119.5,,
PHYS 193.1,1,2,2,121.5,,
ARTS 1,1.5,3,4.5,126,,
SCIENCE 10,1,3,3,129,15,I/22/23
MST 191,1,3,3,132,,
WIKA 1,1,3,3,135,6,II/22/23
,140,,,135,,
GWA,1.125,,,,,
140,,,,,,
