SAGE,LEE,,,,,
BSMST,,,,,,
2011-11111,,,,,,
CRSE NO.,Grade,Units,Enrolled,Term,,
MST 101a,1.25,1,1.25,1.25,,
BIO 11.1,1.75,2,3.5,4.75,,
CHEM 18,2,3,6,10.75,,
CHEM 18.1,2,2,4,14.75,,
PHYS 50,1.25,3,3.75,18.5,,
MATH 25,1,3,3,21.5,,
STS 1,1,3,3,24.5,,
PI 10,1,3,3,27.5,,
HK 11,2,0,0,27.5,20,I/19/20
MST 101b,1,1,0,27.5,,
BIO 14,1.75,5,0,27.5,,
CHEM 40,1.5,4,0,27.5,,
CHEM 40.1,1.25,1,0,27.5,,
AMAT 19,1.5,3,0,27.5,,
MATH 27,1.25,3,0,27.5,,
HIST 1,1,3,0,27.5,,
HK 12,1,0,0,27.5,20,II/19/20
MST 101c,1.5,1,1.5,29,,
EDUC 102,1.25,3,3.75,32.75,,
EDUC 111,1.25,3,3.75,36.5,,
BIO 30,1.5,3,4.5,41,,
STAT 166,1.25,3,3.75,44.75,,
SPCM 156,1,3,3,47.75,,
ETHICS 1,1.25,3,3.75,51.5,,
HK 12,2,0,0,51.5,,
NSTP 1,3,0,0,51.5,19,I/20/21
MST 101d,1,1,1,52.5,,
MST 40,1.25,3,3.75,56.25,,
EDUC 122,1.5,3,4.5,60.75,,
BOT 14,1,3,3,63.75,,
CHEM 160,1,3,3,66.75,,
PHYS 71,1.25,4,5,71.75,,
PHYS 71.1,1.75,1,1.75,73.5,,
COMA 150,3,3,9,82.5,,
HK 12,3,0,0,82.5,,
NSTP 2,1.25,0,0,82.5,21,II/20/21
MST 123,1,5,5,87.5,,
EDUC 144,1,3,3,90.5,,
BIO 150,1,4,4,94.5,,
MCB 11,1,3,3,97.5,,
ZOO 14,1,3,3,100.5,,
STAT 162,1,3,3,103.5,21,I/21/22
MST 195,1.5,3,4.5,108,,
MST 199,1,1,1,109,,
MST 200a,1,3,3,112,,
MATH 18,1,3,3,115,,
COMM 10,1,3,3,118,,
SAS 1,1,3,3,121,16,II/21/22
MST 190,1,3,3,124,,
MST 191,2,3,6,130,,
MST 200b,1,3,3,133,,
ARTS 1,1,3,3,136,,
MATH 10,1,3,3,139,15,I/22/23
HFDS 12,1,3,3,142,,
PHYS 72,1,4,4,146,,
PHYS 72.1,1,1,1,147,,
WIKA 1,2,3,6,153,11,II/22/23
,143,,,153,,
GWA,1.243902439,,,,,
143,,,,,,
